รหัสเขตสุขภาพ,จังหวัด,ชื่อโรงพยาบาล,ชื่อ_รพ_ภาษาอังกฤษ,รหัส H Code,สังกัด,ชนิด รพ.,จำนวนเตียงที่ขอ,จำนวนเตียงเปิดจริง,สถานะ,สถานะการขอรับรอง,ระยะทางห่างจากอ.เมือง,ความเชี่ยวชาญพิเศษ,ประชากรที่รับผิดชอบ,จำนวนผู้รับบริการ,จำนวนผู้ป่วยนอก,จำนวนผู้ป่วยใน,อัตราการครองเตียง,วันนอนเฉลี่ยต่อคน,กลุ่มผู้ป่วยโรคสำคัญ
9,ชัยภูมิ,โรงพยาบาลซับใหญ่,SUBYAI HOSPITAL,4007,สำนักงานปลัดกระทรวงสาธารณสุข (สป.สธ.),โรงพยาบาลชุมชน(รพช.),10,5,TRUE,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
4,พระนครศรีอยุธยา,โรงพยาบาลพระนครศรีอยุธยา,PHRA NAKHON SI AYUTTHAYA HOSPITAL,10660,สำนักงานปลัดกระทรวงสาธารณสุข (สป.สธ.),โรงพยาบาลศูนย์(รพศ.),524,524,TRUE,จัดทำใบประกาศนียบัตร,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
4,สระบุรี,โรงพยาบาลสระบุรี,SARABURI HOSPITAL,10661,สำนักงานปลัดกระทรวงสาธารณสุข (สป.สธ.),โรงพยาบาลศูนย์(รพศ.),680,700,TRUE,NULL,0,ความเชี่ยวชาญพิเศษ,0,0,0,0,0,0,โรคสำคัญ
6,ชลบุรี,โรงพยาบาลชลบุรี,CHONBURI HOSPITAL,10662,สำนักงานปลัดกระทรวงสาธารณสุข (สป.สธ.),โรงพยาบาลศูนย์(รพศ.),832,850,TRUE,เขียนรายงาน,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
6,ระยอง,โรงพยาบาลระยอง,RAYONG HOSPITAL,10663,สำนักงานปลัดกระทรวงสาธารณสุข (สป.สธ.),โรงพยาบาลศูนย์(รพศ.),600,620,TRUE,อยู่ระหว่างต่ออายุ,0,การบริการทางการแพทย์ด้านตติยภูมิ การบริการด้านอาชีวเวชศาตร์  และระบบการจัดการภาวะฉุกเฉิน  ,283381,ปี 2563 (635000),639439,42702,102,5,"Sepsis,Stroke,AMI,Trumatic Brain Injury,PIH,Abdominal injuryPPHN,PE,Diabetic retinopathy,Occupational Noise Induced Hearing loss"
6,จันทบุรี,โรงพยาบาลพระปกเกล้า,PRAPOKKLAO HOSPITAL,10664,สำนักงานปลัดกระทรวงสาธารณสุข (สป.สธ.),โรงพยาบาลศูนย์(รพศ.),755,840,TRUE,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
6,ปราจีนบุรี,โรงพยาบาลเจ้าพระยาอภัยภูเบศร,CHAOPHYA ABHAI BHUBEJHR HOSPITAL ,10665,สำนักงานปลัดกระทรวงสาธารณสุข (สป.สธ.),โรงพยาบาลศูนย์(รพศ.),650,500,TRUE,NULL,0,"<br />1.	การดูแลผู้ป่วยโรคหัวใจโดยการสวนหัวใจและหลอดเลือด<br />2.	การดูแลโรคหลอดเลือดสมองแบบครบวงจร รวมถึงการการดูแลแบบผสมผสานกับการแพทย์แผนไทย<br />3.	การดูแลโรคระบบทางเดินหายใจที่มีภาวะการหายใจล้มเหลว (Respiratory Failure)<br />4.	การดูแลผู้ป่วยวิกฤตและผู้ป่วยฉุกเฉินแบบครบวงจร<br />5.	การดูแลทารกแรกเกิดที่มีน้ำหนักน้อยและมีภาวะแทรกซ้อน<br />6.	การดูแลผู้ป่วยโดยใช้การแพทย์แผนไทย สมุนไพร และการแพทย์ผสมผสาน<br />7.	การดูแลผู้ป่วยผ่าตัดแบบวันเดียวกลับ (One Day Surgery : ODS) และ minimal invasive surgery (MIS)",235215,ปี 2564 (เดือนตุลาคม 2563 - กันยายน 2564),590111,34960,121.89,220216,"1. DM/HT   <br />2. STEMI  <br />3. Stroke (Ischemic and Hemorrhagic Stroke)  <br />4. Sepsis  <br />5. Pneumonia  <br />6. Cancer <br />7. Very Low Birth Weight : PPHN, RDS  <br />8. Traumatic Brain Injury <br />9. COVID-19"
9,นครราชสีมา,โรงพยาบาลมหาราชนครราชสีมา,MAHARAT NAKHON RATCHASIMA HOSPITAL,10666,สำนักงานปลัดกระทรวงสาธารณสุข (สป.สธ.),โรงพยาบาลศูนย์(รพศ.),1300,1300,TRUE,จัดทำใบประกาศนียบัตร,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
9,บุรีรัมย์,โรงพยาบาลบุรีรัมย์,BURIRAM HOSPITAL,10667,สำนักงานปลัดกระทรวงสาธารณสุข (สป.สธ.),โรงพยาบาลศูนย์(รพศ.),625,887,TRUE,เขียนรายงาน,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
9,สุรินทร์,โรงพยาบาลสุรินทร์,SURIN HOPITAL,10668,สำนักงานปลัดกระทรวงสาธารณสุข (สป.สธ.),โรงพยาบาลศูนย์(รพศ.),914,914,TRUE,เขียนรายงาน,0,ให้บริการ Excellence Center 5 สาขา ได้แก่ สาขาอุบัติเหตุและฉุกเฉิน สาขาโรคมะเร็ง สาขาหัวใจ สาขาทารกแรกเกิด สาขาปลูกถ่ายอวัยวะ,262577,2564 (ตุลาคม 2563-พฤษภาคม 2564),405807,39465,87.66,4.93,"1. กลุ่มผู้ป่วยวิกฤตฉุกเฉิน ได้แก่ Stroke, STEMI, Trauma, Sepsis<br />2. กลุ่มผู้ป่วยโรคเรื้อรัง ได้แก่ DM, HT, CKD<br />3. กลุ่มมารดาและทารก"
